Airport Code,Airport Name,City Name,coordinates
324,CCA,Chaffee AFB,Fort Chaffee,"19.833333, -72.5"
325,DEH,Municipal,Decorah,"43.316667, -91.833333"
326,NQI,NAS,Kingsville,"51.366667, -0.283333"
327,MIC,Crystal,Minneapolis,"45.061944, -93.353889"
328,KCK,Fairfax Municipal,Kansas City,"39.116667, -94.65"
329,PXL,Polacca,Polacca,"35.833333, -110.383333"
330,BRY,Samuels Field,"Bardstown, KY","37.816667, -85.466667"
331,ABL,Ambler,Ambler,"67.1, -157.816667"
332,BKC,Buckland,Buckland,"65.983333, -161.166667"
333,MTX,Metro Field,Fairbanks,"64.8, -147.75"
334,APV,Apple Valley,Apple Valley,"34.575278, -117.186111"
335,GST,Gustavus Arpt,Gustavus,"58.416667, -135.7"
336,FMN,Municipal,Farmington,"36.75, -108.233333"
337,PNS,Regional,Pensacola,"30.466667, -87.183333"
338,SVC,Grant County,Silver City,"32.633333, -108.166667"
339,HUT,Hutchinson,Hutchinson,"38.066667, -97.866667"
340,BUR,Bob Hope,Burbank,"34.2, -118.35"
341,GON,New London,New London,"41.333333, -72.05"
342,WRL,Worland,"Worland, WY","43.965833, -107.884167"
343,GWV,Glendale,Glendale,"-17.360556, 31.059722"
344,SIY,Siskiyou County,Montague,"41.781389, -122.466389"
345,PLK,M Graham Clark,Branson/point Lookout,"36.616667, -93.216667"
346,MXO,Municipal,Monticello,"40.65, 15.016667"
347,SGF,Springfield-Branson Rg,Springfield,"37.25, -93.383333"
348,MYV,Yuba County,Marysville,"39.1, -121.566667"
349,BIL,Billings,Billings,"45.8, -108.533333"
350,CZN,Chisana Field,Chisana,"62.083333, -142.05"
351,DLL,Dillon,Dillon,"34.416667, -79.366667"
352,ANV,Anvik,Anvik,"62.65, -160.216667"
353,MRB,Eastern Wv Regional Airport/Shepherd Field,Martinsburg,"39.401667, -77.984444"
354,ROA,Roanoke Regional Airport,Roanoke,"37.316667, -79.983333"
355,SFO,San Francisco International,"San Francisco, CA","37.618889, -122.375"
356,INL,Falls Intl,International Falls,"48.566667, -93.4"
357,ALN,Alton,Alton,"38.891667, -90.172222"
358,ESD,Orcas Island,Eastsound,"48.716667, -122.816667"
359,GRB,Austin-straubel Field,Green Bay,"44.483333, -88.133333"
360,NJK,El Centro NAF,"El Centro, CA","32.829167, -115.671667"
361,SEE,Gillespie Field,San Diego,"32.550278, -116.916389"
362,MCK,Mccook,Mccook,"40.2, -100.583333"
363,LSE,Municipal,La Crosse,"43.883333, -91.25"
